Dataset,Reason
GSE1141-GPL96,Supp is not available
GSE1152-GPL96,Supp is not available
GSE1142-GPL97,Supp is not available
GSE1152-GPL97,Supp is not available
GSE1299-GPL8300,Supp is not available
GSE1299-GPL96,Supp is not available
GSE1299-GPL97,Supp is not available
GSE454-GPL81,Supp is not available
GSE766-GPL8300,Supp is not available
GSE759-GPL8300,Sample size is not consistent: 6 - 0
GSE435-GPL81,Supp is not available
GSE574-GPL91,Supp is not available
GSE557-GPL81,Supp is not available
GSE434-GPL81,Supp is not available
GSE108-GPL81,Supp is not available
GSE109-GPL81,Supp is not available
GSE107-GPL81,Supp is not available
GSE85-GPL81,Supp is not available
GSE57076-GPL5175,RAW is not available
GSE57076-GPL5188,RAW is not available
GSE20050-GPL1352,Sample size is not consistent: 7 - 6
GSE9921-GPL570,Sample size is not consistent: 7 - 0
GSE5864-GPL81,Supp is not available
GSE4656-GPL1261,Supp is not available
GSE3534-GPL339,Supp is not available
GSE4068-GPL339,Supp is not available
GSE3054-GPL91,Supp is not available
GSE2238-GPL96,Supp is not available
GSE3674-GPL201,Supp is not available
GSE2299-GPL96,Supp is not available
GSE2299-GPL97,Supp is not available
GSE2559-GPL8300,Supp is not available
GSE2099-GPL96,Supp is not available
GSE1088-GPL81,Supp is not available
GSE702-GPL81,Supp is not available
GSE1144-GPL8300,Supp is not available
GSE1407-GPL8300,Sample size is not consistent: 7 - 2
GSE208598-GPL17586,CEL file is corrupted
GSE218706-GPL23038,RStudio is stopped
GSE189084-GPL23159,Sample size is not consistent: 8 - 24
GSE189004-GPL16686,Sample size is not consistent: 8 - 16
GSE151418-GPL6246,RAW is not available
GSE137511-GPL17586,RAW is not available
GSE142415-GPL6246,RAW is not available
GSE71648-GPL11533,Subscript out of bounds
GSE95748-GPL1261,Subscript out of bounds
GSE84709-GPL16570,RStudio is stopped
GSE68721-GPL16686,Supp is not available
GSE67313-GPL6193,RAW is not available
GSE67313-GPL6096,RAW is not available
GSE66356-GPL1261,Supp is not available
GSE31827-GPL14363,CEL file is corrupted
GSE11116-GPL81,Supp is not available
GSE9801-GPL96,Sample size is not consistent: 8 - 6
GSE22498-GPL5188,CEL file is corrupted
GSE24203-GPL1261,Supp is not available
GSE3927-GPL8300,Sample size is not consistent: 8 - 0
GSE4940-GPL339,Supp is not available
GSE1089-GPL81,Supp is not available
GSE10639-GPL1261,Sample size is not consistent: 8 - 0
GSE6379-GPL570,Supp is not available
GSE5236-GPL1261,Supp is not available
GSE5474-GPL8300,Supp is not available
GSE4422-GPL339,Supp is not available
GSE8555-GPL1261,Sample size is not consistent: 8 - 7
GSE3624-GPL96,Supp is not available
GSE7209-GPL339,Supp is not available
GSE4420-GPL1261,Supp is not available
GSE5870-GPL1261,Supp is not available
GSE4852-GPL96,Supp is not available
GSE4737-GPL570,Sample size is not consistent: 8 - 2
GSE4406-GPL570,Supp is not available
GSE4220-GPL81,Supp is not available
GSE5371-GPL1261,Supp is not available
GSE5041-GPL1261,Supp is not available
GSE3962-GPL1261,Supp is not available
GSE4316-GPL570,Supp is not available
GSE4508-GPL1261,Supp is not available
GSE4928-GPL1261,Supp is not available
GSE4560-GPL96,Supp is not available
GSE4828-GPL8300,Supp is not available
GSE4710-GPL339,Supp is not available
GSE4650-GPL339,Supp is not available
GSE2471-GPL81,Supp is not available
GSE4570-GPL96,Supp is not available
GSE3252-GPL339,Supp is not available
GSE4410-GPL339,Supp is not available
GSE4264-GPL81,Supp is not available
GSE4265-GPL81,Supp is not available
GSE4171-GPL339,Supp is not available
GSE4110-GPL570,Supp is not available
GSE3293-GPL1261,Supp is not available
GSE3807-GPL96,Supp is not available
GSE3843-GPL1261,Supp is not available
GSE3337-GPL81,Supp is not available
GSE2774-GPL1261,Supp is not available
GSE2592-GPL1261,Supp is not available
GSE3485-GPL570,Supp is not available
GSE3413-GPL570,Supp is not available
GSE2700-GPL96,Supp is not available
GSE2131-GPL81,Supp is not available
GSE2531-GPL96,Sample size is not consistent: 8 - 7
GSE2644-GPL339,Supp is not available
GSE2458-GPL81,Sample size is not consistent: 8 - 0
GSE2522-GPL91,Supp is not available
GSE2429-GPL96,Sample size is not consistent: 8 - 2
GSE1283-GPL339,Supp is not available
GSE2229-GPL1261,Supp is not available
GSE1623-GPL81,Sample size is not consistent: 8 - 6
